sample,status,reason,rawmeal_feed[kg/s],rmgas_flow[kg/s],rmgas_temp[K],coal_feed[kg/s],cmgas_flow[kg/s],cmgas_temp[K],clrcair_flow[kg/s],clrcair2_flow[kg/s],rmfan_T[K],rmdry_T[K],gasht_T[K],cmdry_T[K],phk1_T[K],phk2_T[K],phk3_T[K],phk4_T[K],phk5_T[K],phc1_T[K],phc2_T[K],phc3_T[K],phc4_T[K],phc5_T[K],clcalc_T[K],coal_split[-],secair_split[-],meal_split[-],RawMill_I_B_MW,RawMill_I_A_MW,RawMill_eps,RawMill_eps_capped,RawMill_IP_MW,RawMill_Eclose_MW,CoalMill_I_B_MW,CoalMill_I_A_MW,CoalMill_eps,CoalMill_eps_capped,CoalMill_IP_MW,CoalMill_Eclose_MW,Preheater_I_B_MW,Preheater_I_A_MW,Preheater_eps,Preheater_eps_capped,Preheater_IP_MW,Preheater_Eclose_MW,Calciner_I_B_MW,Calciner_I_A_MW,Calciner_eps,Calciner_eps_capped,Calciner_IP_MW,Calciner_Eclose_MW,Kiln_I_B_MW,Kiln_I_A_MW,Kiln_eps,Kiln_eps_capped,Kiln_IP_MW,Kiln_Eclose_MW,ClinkerCooler_I_B_MW,ClinkerCooler_I_A_MW,ClinkerCooler_eps,ClinkerCooler_eps_capped,ClinkerCooler_IP_MW,ClinkerCooler_Eclose_MW,plant_I_B_MW,plant_IP_MW,plant_eps,coal_ex_MW,clinker_ex_MW,clinker_T_K,NCV_kJkg,plant_spec_I_MJkg,plant_spec_I_MWMW,clinker_mass_kgps,plant_eps_stream
base,OK,base_case_write_then_solve,100.78,178.9,436.15,8.28,33.6,436.15,48.0,103.0,438.15,363.15,438.15,343.15,593.15,753.15,903.15,973.15,1023.15,593.15,753.15,903.15,973.15,1023.15,1173.15,0.55,0.55,0.65,7.5072,6.4096,0.0749,0,6.9453,0.0,1.5093,1.2592,0.0202,0,1.4788,0.0,11.4312,11.4312,0.3765,0,7.1269,-0.0,36.6269,34.5993,0.7904,0,7.6753,0.0001,37.7092,30.7817,0.4701,0,19.9813,0.0001,15.7216,15.7215,0.5564,0,6.9747,-0.0001,110.5054,50.1824,0.3774,165.7322,64.4525,1430.77,18760.6,1.6403,1.7145,67.3694,0.3791
0,OK,,95.39146,168.77308,413.63219,8.95343,34.88263,397.83064,49.9001,96.44587,476.41566,338.30353,479.88741,329.67357,545.04346,710.17612,937.59475,1047.61289,968.43062,583.96108,803.06848,940.91579,1027.74402,1026.25187,1142.81848,0.59829,0.56633,0.68407,14.4904,13.396,0.0122,0,14.313,-0.0,4.1364,3.8896,0.0037,0,4.1212,-0.0,13.883,13.883,0.3504,0,9.0187,-0.0,40.0476,38.1266,0.6665,0,13.3547,0.0,37.0194,30.4046,0.4602,0,19.9835,-0.0562,14.1432,14.1433,0.557,0,6.2657,0.0,123.7201,67.0567,0.331,179.196,61.0113,1392.59,18760.6,1.9274,2.0278,64.1914,0.3325
1,OK,,94.24769,191.58757,467.39379,8.80634,34.641,409.91729,46.41647,97.12234,472.92232,339.66858,458.12228,342.8667,652.18437,793.20366,859.90426,933.89883,1043.49126,536.59309,780.60741,967.70094,1016.53932,922.30483,1253.49472,0.58781,0.57149,0.65284,7.3928,6.2916,0.0238,0,7.2169,0.0,2.9202,2.6698,0.0103,0,2.8902,-0.0,15.0696,15.0696,0.3217,0,10.2219,0.0,40.7651,38.8692,0.7179,0,11.499,0.0,36.0006,29.5222,0.4571,0,19.5444,0.0001,15.1566,15.1566,0.5598,0,6.6725,-0.0,117.3049,58.0448,0.3323,176.267,60.2795,1459.38,18760.6,1.85,1.946,63.4066,0.3339
2,OK,,110.84761,185.44749,396.52059,7.9206,35.90655,442.31338,49.02931,98.98768,447.8738,342.11172,472.62257,351.06572,575.32494,796.8265,912.62048,1066.32557,987.80539,587.1593,795.30435,953.08618,906.131,1003.48301,1060.31465,0.50648,0.54931,0.65345,12.9975,11.898,0.0199,0,12.7384,0.0,2.5405,2.2861,0.0141,0,2.5048,-0.0,14.9369,14.9369,0.4311,0,8.4974,0.0,30.3462,28.1171,0.9165,0,2.5325,-0.0,39.4909,31.8729,0.4934,0,20.0046,0.0001,16.445,16.445,0.5716,0,7.0443,-0.0,116.757,53.3221,0.4334,158.5486,70.8859,1427.97,18760.6,1.5853,1.6471,73.6485,0.4353
3,OK,,110.23818,188.84165,470.33357,7.85892,33.54573,477.14223,45.71997,105.21222,461.70016,332.33336,436.5848,367.40131,627.43063,825.41336,979.91127,954.68584,1012.08458,573.59995,760.14875,931.7241,1046.92555,1010.34351,1112.30028,0.58381,0.52996,0.65793,6.321,5.2206,0.0158,0,6.2213,0.0,1.4628,1.1996,0.0357,0,1.4106,0.0,14.15,14.15,0.4473,0,7.8209,0.0,35.792,33.5815,0.8276,0,6.1691,-0.0001,36.5559,28.9158,0.5053,0,18.0852,-0.0675,15.8767,15.8768,0.5526,0,7.104,0.0001,110.1585,46.8111,0.4343,157.3386,70.4961,1382.47,18760.6,1.5041,1.5626,73.2367,0.4362
4,OK,,110.74687,192.66775,417.07278,9.04804,30.81497,425.30075,45.97711,105.0652,440.37463,392.42959,408.06451,367.62184,556.505,700.40204,919.99249,890.73544,983.8023,641.58836,680.79879,979.51625,878.86944,921.60068,1189.85231,0.59645,0.55136,0.61524,17.8243,16.7229,0.0661,0,16.6458,0.0,1.2994,1.0353,0.0705,0,1.2077,-0.0,15.5791,15.5791,0.3363,0,10.3396,-0.0,42.0416,39.8224,0.7955,0,8.5983,-0.0003,37.6821,30.0755,0.494,0,19.0671,0.0001,17.4049,17.4052,0.5621,0,7.621,0.0003,131.8314,63.4795,0.3803,181.1457,70.8265,1454.12,18760.6,1.7812,1.8613,74.0127,0.382
5,OK,,101.39402,165.30546,472.6883,8.31241,34.96635,437.38087,43.64156,99.45551,457.69229,386.11981,425.96429,377.41478,646.2104,784.46545,988.26592,1024.33085,1118.65727,540.73534,785.38834,867.05329,936.05925,1089.43931,1074.94932,0.51057,0.58237,0.68109,10.8985,9.8052,0.0805,0,10.021,0.0,1.4078,1.1347,0.0717,0,1.3068,0.0,11.7507,11.7507,0.5106,0,5.7512,-0.0,31.4728,29.4437,0.7061,0,9.2512,-0.0003,39.5146,32.5561,0.4663,0,21.0875,0.0001,15.4662,15.4663,0.5559,0,6.8681,0.0001,110.5105,54.2858,0.3782,166.4364,64.8451,1427.7,18760.6,1.6306,1.7042,67.773,0.3798
6,OK,,99.86289,187.45762,404.77434,8.63323,33.68974,411.50822,46.77811,103.67368,474.76085,334.28821,413.81023,329.06305,598.19267,771.90214,904.73901,913.12366,1075.4775,608.14994,758.67637,863.76025,1040.3757,930.93539,1246.27133,0.58602,0.54464,0.64032,17.2537,16.1537,0.0079,0,17.1179,0.0,1.3915,1.1451,0.011,0,1.3761,0.0,14.452,14.452,0.3523,0,9.3613,0.0,41.0812,39.07,0.7465,0,10.4126,0.0,36.4147,29.5486,0.4718,0,19.2341,0.0001,16.1383,16.1383,0.5563,0,7.1601,0.0,126.7313,64.6621,0.359,172.7868,63.8679,1456.53,18760.6,1.8938,1.9843,66.9192,0.3607
7,OK,,94.81751,193.41147,474.91429,8.75116,36.20934,401.58303,43.82913,93.40957,410.58975,349.09746,449.56082,322.20327,632.57917,823.33521,952.17407,1049.97288,1094.05374,572.65763,708.13088,992.50121,966.2386,973.98785,1139.6891,0.54364,0.53773,0.6227,7.5193,6.4177,0.0278,0,7.3099,0.0,3.1428,2.8961,0.0027,0,3.1344,-0.0,12.9968,12.9968,0.4035,0,7.7529,-0.0,35.7813,33.8714,0.6702,0,11.8011,0.0,36.8792,30.3598,0.4678,0,19.6281,0.0001,15.7465,15.7465,0.5685,0,6.7941,0.0001,112.0659,56.4206,0.3364,175.1415,60.6435,1507.11,18760.6,1.7579,1.8479,63.7488,0.338
8,OK,,106.34906,174.49449,417.95772,7.9303,31.33662,456.98743,52.05629,95.0267,444.28995,338.33997,472.82045,330.6135,602.73775,807.55495,815.14464,1045.64048,1041.51422,576.62197,721.73233,813.70776,996.71821,994.471,1235.90266,0.55828,0.56761,0.61181,8.5309,7.4346,0.0248,0,8.3195,0.0,2.1157,1.87,0.0068,0,2.1013,-0.0,14.5961,14.5961,0.3723,0,9.1624,-0.0,37.1682,35.0264,0.8854,0,4.2576,-0.0,36.3203,29.0084,0.4856,0,18.6817,0.0001,16.3107,16.3107,0.5813,0,6.8292,-0.0,115.0419,49.3516,0.4153,158.7198,68.0106,1459.29,18760.6,1.6252,1.6915,70.7854,0.4172
