section,rank,input,input_key,sensitivity_index
RawMill,1,RM dryer T,rmdry_T[K],0.4871
RawMill,2,RM gas T,rmgas_temp[K],0.2684
RawMill,3,RM fan T,rmfan_T[K],0.1647
RawMill,4,Raw-meal feed,rawmeal_feed[kg/s],0.0069
RawMill,5,Coal split,coal_split[-],0.006
RawMill,6,RM gas flow,rmgas_flow[kg/s],0.0057
RawMill,7,PH-K5 T,phk5_T[K],0.0047
RawMill,8,Calciner T,clcalc_T[K],0.004
RawMill,9,PH-C4 T,phc4_T[K],0.0038
RawMill,10,PH-C5 T,phc5_T[K],0.0037
RawMill,11,Cooler air 2,clrcair2_flow[kg/s],0.0036
RawMill,12,PH-K4 T,phk4_T[K],0.0034
RawMill,13,Meal split,meal_split[-],0.0033
RawMill,14,PH-C3 T,phc3_T[K],0.0033
RawMill,15,PH-K2 T,phk2_T[K],0.0033
RawMill,16,Cooler air 1,clrcair_flow[kg/s],0.0032
RawMill,17,CM gas T,cmgas_temp[K],0.0031
RawMill,18,CM gas flow,cmgas_flow[kg/s],0.0029
RawMill,19,PH-K3 T,phk3_T[K],0.0028
RawMill,20,CM dryer T,cmdry_T[K],0.0027
RawMill,21,PH-C2 T,phc2_T[K],0.0026
RawMill,22,Sec-air split,secair_split[-],0.0026
RawMill,23,PH-C1 T,phc1_T[K],0.0024
RawMill,24,Coal feed,coal_feed[kg/s],0.002
RawMill,25,Gas-heater T,gasht_T[K],0.0019
RawMill,26,PH-K1 T,phk1_T[K],0.0019
CoalMill,1,Gas-heater T,gasht_T[K],0.4284
CoalMill,2,CM dryer T,cmdry_T[K],0.2802
CoalMill,3,CM gas T,cmgas_temp[K],0.2299
CoalMill,4,CM gas flow,cmgas_flow[kg/s],0.007
CoalMill,5,PH-K2 T,phk2_T[K],0.0036
CoalMill,6,PH-C5 T,phc5_T[K],0.0033
CoalMill,7,PH-C1 T,phc1_T[K],0.003
CoalMill,8,RM fan T,rmfan_T[K],0.0029
CoalMill,9,RM dryer T,rmdry_T[K],0.0028
CoalMill,10,Raw-meal feed,rawmeal_feed[kg/s],0.0028
CoalMill,11,PH-K3 T,phk3_T[K],0.0028
CoalMill,12,RM gas T,rmgas_temp[K],0.0028
CoalMill,13,Cooler air 1,clrcair_flow[kg/s],0.0027
CoalMill,14,PH-K5 T,phk5_T[K],0.0025
CoalMill,15,PH-C4 T,phc4_T[K],0.0025
CoalMill,16,PH-K1 T,phk1_T[K],0.0025
CoalMill,17,Sec-air split,secair_split[-],0.0025
CoalMill,18,RM gas flow,rmgas_flow[kg/s],0.0023
CoalMill,19,Cooler air 2,clrcair2_flow[kg/s],0.0021
CoalMill,20,Meal split,meal_split[-],0.0021
CoalMill,21,Coal feed,coal_feed[kg/s],0.002
CoalMill,22,PH-C2 T,phc2_T[K],0.002
CoalMill,23,PH-K4 T,phk4_T[K],0.0019
CoalMill,24,PH-C3 T,phc3_T[K],0.0019
CoalMill,25,Calciner T,clcalc_T[K],0.0019
CoalMill,26,Coal split,coal_split[-],0.0014
Preheater,1,Calciner T,clcalc_T[K],0.1822
Preheater,2,PH-K5 T,phk5_T[K],0.1623
Preheater,3,PH-C5 T,phc5_T[K],0.0786
Preheater,4,PH-C1 T,phc1_T[K],0.0707
Preheater,5,RM dryer T,rmdry_T[K],0.0624
Preheater,6,Raw-meal feed,rawmeal_feed[kg/s],0.0587
Preheater,7,Coal split,coal_split[-],0.0573
Preheater,8,Coal feed,coal_feed[kg/s],0.0571
Preheater,9,PH-K1 T,phk1_T[K],0.0429
