,RawMill_I_B_MW,RawMill_eps,RawMill_IP_MW,CoalMill_I_B_MW,CoalMill_eps,CoalMill_IP_MW,Preheater_I_B_MW,Preheater_eps,Preheater_IP_MW,Calciner_I_B_MW,Calciner_eps,Calciner_IP_MW,Kiln_I_B_MW,Kiln_eps,Kiln_IP_MW,ClinkerCooler_I_B_MW,ClinkerCooler_eps,ClinkerCooler_IP_MW
rawmeal_feed[kg/s],0.004323071415899415,0.011441103219845818,0.004881085669510206,0.002510484052533502,0.003211677327267342,0.002704076541540639,0.07134112592324804,0.0901388935830449,0.014661837112676757,0.014186832718686837,0.15317424695133933,0.1526092906009909,0.04822142497339864,0.3049293379160622,0.09715217698802397,0.22402533122302876,0.18950941380902422,0.1857535823866964
rmgas_flow[kg/s],0.0044046180749490425,0.008488167140080938,0.004189653468456365,0.002229378362243338,0.0021408202098559697,0.002533967316800067,0.0060800670438202415,0.004735330522721102,0.003890073878773766,0.006084639926899896,0.0057640170822197394,0.0033614681834671363,0.008567583290333974,0.006914769202930895,0.004386763991807516,0.003356386053983325,0.00439691977839337,0.0052008538174385475
rmgas_temp[K],0.30398739646714856,0.18301667475933,0.3182253325937265,0.0025301810055701627,0.0027392168466868812,0.003057825819299993,0.006839721414710045,0.010079477589206952,0.0069912533696205505,0.013578898840197357,0.006947294354376253,0.006457064618693462,0.010897744534994164,0.013616775059332792,0.010153277285190764,0.007847226944940378,0.009273621634859173,0.00722227976971444
coal_feed[kg/s],0.0017928810110560112,0.0024659394113416278,0.0016758188575586837,0.0010980190379155839,0.0036592178873010557,0.0013021754559649074,0.05194633624050417,0.057485253224683404,0.061760233901693995,0.18919945022934284,0.17098696526367352,0.20173031092690713,0.15880415991073876,0.07891752029561581,0.14173156434996675,0.12863318828799752,0.08346548503609162,0.11900329295444645
cmgas_flow[kg/s],0.0032158417636446966,0.0026784151122875807,0.002746947222420139,0.010253465358540484,0.002542482928130151,0.008318646937660813,0.003702264110699523,0.006798366387417738,0.004768753957917816,0.006567855646024929,0.0039685775585772895,0.0039020414726898996,0.005878401626983725,0.0067773642787095495,0.006004118695622744,0.0057441542260754305,0.007449734448903304,0.004546628289131221
cmgas_temp[K],0.0037541486392842437,0.0019431460028817165,0.003603722769617498,0.3321251958097934,0.035129806150194794,0.3225506278700147,0.016040293080703656,0.006924032147068884,0.00961190219537736,0.011514678398171555,0.008180380282779304,0.00659100640014474,0.006187209213450872,0.006654531037106654,0.006010165780165536,0.008795573813062585,0.00864060456529174,0.009079273917464629
clrcair_flow[kg/s],0.0030255180082975628,0.002818500503840563,0.0038385352963522467,0.0021979722946267118,0.0032832366144492386,0.0027553329632388156,0.010569192959671443,0.022821194182609226,0.012647519886611523,0.02886486615866437,0.011368350535948857,0.006095713546560767,0.054337177222604116,0.06488391411448756,0.0651954795086497,0.049309758430384626,0.04455911895099539,0.07264626866811891
clrcair2_flow[kg/s],0.003131960879163518,0.0042293456538915145,0.0033268976879042697,0.0022639603946273744,0.002075824851909784,0.0019999318722625403,0.007199822014690274,0.017746221526013944,0.009666324967089112,0.07608214554341827,0.018089138500824203,0.009033330663147298,0.16399813808247887,0.13004226423497492,0.16719206889352134,0.032939367885420255,0.28245258286027497,0.09034918815460831
rmfan_T[K],0.1531573917939254,0.17632995457636885,0.16470949294001122,0.0030233262176123,0.002389082788057873,0.0033671111165393263,0.007472801193674803,0.012108492565870295,0.003894466618722755,0.011992077090462872,0.004671786397322595,0.004837422557329351,0.01198401949554969,0.007462330042597256,0.004812884172795565,0.006593921990174741,0.005775267680534769,0.007178467193401289
rmdry_T[K],0.47063953253543295,0.5466645392922017,0.44397482092322477,0.002371118350408857,0.003496612026816364,0.002644131328025137,0.10420635149179272,0.016429264221090666,0.0665369132599124,0.01262399936727693,0.008442094633151036,0.007302686135558158,0.01128619891231679,0.010879319053745232,0.010470021156256951,0.008972627747307295,0.011327582254290293,0.008849809652692782
gasht_T[K],0.0018749432306607186,0.002065305335011078,0.0018613959679530698,0.5502107423827036,0.19191756556946166,0.5429834594495738,0.011573744662759454,0.008304785599919578,0.00928047064891743,0.015936960352510823,0.009414315125069355,0.00785284449758943,0.008660126236481566,0.01238417811311155,0.007439097202364566,0.009842255071810597,0.01082272899975214,0.01024607352339709
cmdry_T[K],0.0027722161664292854,0.002038883302741522,0.003296876403527144,0.058969346217327225,0.708173276413649,0.07334555341317373,0.00970990896582068,0.009405052384637558,0.00903247718966526,0.012307285390839463,0.011990927431202641,0.008547656007442669,0.017647969084331156,0.012061750867814207,0.013576775074117623,0.011893396421217752,0.01041726361783069,0.00799691333064668
phk1_T[K],0.0018047768001338952,0.0017221945798401093,0.0020925504130661723,0.0020286199450381707,0.003380599843983629,0.002074788265488991,0.04867300309780569,0.03272717414459865,0.04744700507882935,0.006110957028365047,0.0057867744357377226,0.004645615606624807,0.0047122014404682834,0.005043956532107906,0.00468859627245138,0.007486535021268265,0.005559548962661233,0.005670380719644886
phk2_T[K],0.0032850364217635957,0.0029707684325954577,0.0035914355887347624,0.0015197350252845482,0.0070617468473434825,0.002192280501714369,0.027752806133474014,0.006221774836902564,0.012950818291539466,0.007119451667168976,0.004575790312858279,0.005094559607443115,0.006847922465364209,0.006186737252839905,0.00521305916230337,0.005578968823427539,0.006004019391588378,0.006328861457351591
phk3_T[K],0.0026451855272441884,0.003544039959403001,0.002310031628280248,0.0032375289602508176,0.0014974397660873023,0.0036784434060173916,0.03361575536911512,0.0074854792624526436,0.029574826714367432,0.008957260692070491,0.004670000369873866,0.004214973337314838,0.0063870128865715576,0.005926110447708185,0.007375414323273168,0.0034681805746611854,0.004037351637312451,0.005892584945760044
phk4_T[K],0.0024623355620779753,0.004745330924657468,0.0030609588830116954,0.002120345793183642,0.001569268118195254,0.002130221936679635,0.010555515931189368,0.00464250400659562,0.008023946864077623,0.004730662787960579,0.006121639021885628,0.004603970376570177,0.00975787765035901,0.0059996459993517885,0.0038367343523490957,0.0038620522721267555,0.005641340565757532,0.003464446391683231
phk5_T[K],0.00441731697017043,0.005805950060597448,0.003913242015636686,0.0031137814625998876,0.0013680906843118888,0.003158942817720554,0.11921927379920608,0.2026878648114724,0.16507471453264286,0.030169648326258666,0.1385362929683425,0.13385264122574617,0.00950356173862689,0.014392681957877039,0.008141524139460394,0.008594470397266659,0.010073811698146307,0.007970914862020086
phc1_T[K],0.0019212375558394462,0.0029585626400097085,0.0021876395540832328,0.0027412927977988315,0.003720316578100788,0.0026602288738354673,0.08393483846908466,0.0465809107928823,0.08147474614327974,0.011566453085506757,0.007296118714993691,0.0064274928410167406,0.006809177053831194,0.007630091302542822,0.006368308458619246,0.005691528563969647,0.008819655505598675,0.005839076216271538
phc2_T[K],0.002312144798923883,0.0035270573779394186,0.0020077118000403483,0.0011124986592102209,0.0035922709841022336,0.0013347972658039034,0.03508700042786098,0.00559211062753039,0.017212514922573093,0.008533044752971052,0.0050613996993578445,0.005218051241623048,0.006068456296999964,0.006648030345961961,0.004935625361893864,0.004281139102924332,0.004698902854502543,0.005881898199619537
phc3_T[K],0.0031021405783759758,0.003200493117298201,0.0035534363381641205,0.0020620795930825163,0.0017665682716502431,0.0017552670416184713,0.05468201507400972,0.004191673201730347,0.03984320885093648,0.007586763047217697,0.004723139607245545,0.006301356746633366,0.00488979401705039,0.007258686762329993,0.0034954425374861945,0.004364046325664277,0.0058772830687821576,0.003789727937863211
phc4_T[K],0.0025835190794930105,0.006132386390598873,0.0027258920734455606,0.0029135098103214557,0.0018342359034932076,0.002881110700467162,0.01177757321658195,0.006020594752373804,0.013792579281456087,0.004473026654580761,0.004601910332488997,0.004318280358885036,0.007226156705796841,0.004977743250972037,0.00463201284935797,0.0038498782649737393,0.0043402882367830475,0.003577970456515161
phc5_T[K],0.003248936725085675,0.0045721984556832225,0.0032541408181922644,0.0027586636429448603,0.003788900969964777,0.0033283500375664308,0.04448657913401755,0.10990388682859716,0.08136350648881388,0.01752496232878108,0.08374303173141646,0.07850041389768439,0.006237183810748971,0.008913544349582072,0.008603712865610342,0.006228688310067826,0.008819453389368362,0.005896491121514462
clcalc_T[K],0.003669988122636168,0.004741617770005343,0.0035632175222476063,0.0016254557943541118,0.0022785894915774815,0.0016623799919771361,0.1322471952278025,0.22635321823754506,0.18806481760382068,0.23121386678152628,0.14586147884148037,0.10804505515297642,0.11586116118209883,0.01388512298861649,0.07712867994678779,0.17920913701763558,0.11095811575144832,0.16664101459230743
coal_split[-],0.006235754213762025,0.006507807357826848,0.005396313561633705,0.0012349569874394518,0.0017142195508116837,0.001218344761631934,0.054944276990043846,0.050930262575811396,0.06617375229290924,0.21981535742384603,0.14178906695455434,0.1765406614275097,0.1793472015126021,0.08851228499959848,0.16822088858442635,0.13568676162948048,0.0793968493129016,0.12466282181146936
secair_split[-],0.0023199905031857093,0.002883059467823402,0.002494686301258595,0.0017637747573403277,0.003469783646671902,0.0022327821238237954,0.03220649396937033,0.029371017972822426,0.03150917550360906,0.037278667898235134,0.030832710847518305,0.03938306994024651,0.123072848598788,0.16317217695710615,0.15284293929087178,0.12949083655164947,0.07215443538594371,0.12170802531344807
meal_split[-],0.003912117155416597,0.0025085591558986348,0.0035181637019428523,0.0019845672872484794,0.0021991497299260207,0.0021292221915601996,0.004136044058343215,0.00431516401440103,0.004752160444166177,0.0059801878630155805,0.0034025520457622855,0.004533022629204651,0.006809292057031395,0.005929132636916364,0.010392668756626037,0.004254589049480896,0.005528620602964067,0.004603154316774668
