rank,input,input_key,sensitivity_index
1,Raw-meal feed,rawmeal_feed[kg/s],0.2075
2,Coal feed,coal_feed[kg/s],0.1267
3,RM gas T,rmgas_temp[K],0.1093
4,Calciner T,clcalc_T[K],0.1088
5,RM dryer T,rmdry_T[K],0.0988
6,Cooler air 2,clrcair2_flow[kg/s],0.0447
7,PH-K5 T,phk5_T[K],0.0405
8,PH-C5 T,phc5_T[K],0.0239
9,Sec-air split,secair_split[-],0.0232
10,Cooler air 1,clrcair_flow[kg/s],0.0217
11,PH-C3 T,phc3_T[K],0.0211
12,Gas-heater T,gasht_T[K],0.0204
13,PH-C1 T,phc1_T[K],0.0197
14,CM gas T,cmgas_temp[K],0.0177
15,CM dryer T,cmdry_T[K],0.0161
16,PH-K1 T,phk1_T[K],0.0141
17,PH-C2 T,phc2_T[K],0.0122
18,Coal split,coal_split[-],0.0122
19,CM gas flow,cmgas_flow[kg/s],0.0121
20,PH-K3 T,phk3_T[K],0.011
21,PH-C4 T,phc4_T[K],0.0089
22,RM fan T,rmfan_T[K],0.0067
23,PH-K4 T,phk4_T[K],0.0067
24,Meal split,meal_split[-],0.0059
25,RM gas flow,rmgas_flow[kg/s],0.0053
26,PH-K2 T,phk2_T[K],0.0048
